full_name,selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
Maruti Alto Std,1.2,2012.0,Individual,120000,Petrol,Manual,19.7,796.0,46.3,5.0
Hyundai Grand i10 Asta,5.5,2016.0,Individual,20000,Petrol,Manual,18.9,1197.0,82.0,5.0
Hyundai i20 Asta,2.15,2010.0,Individual,60000,Petrol,Manual,17.0,1197.0,80.0,5.0
Maruti Alto K10 2010-2014 VXI,2.26,2012.0,Individual,37000,Petrol,Manual,20.92,998.0,67.1,5.0
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,2015.0,Dealer,30000,Diesel,Manual,22.77,1498.0,98.59,5.0
Maruti Wagon R VXI BS IV,3.5,2013.0,Individual,35000,Petrol,Manual,18.9,998.0,67.1,5.0
Hyundai i10 Sportz 1.2,3.15,2013.0,Dealer,40000,Petrol,Manual,20.36,1197.0,78.9,5.0
Maruti Wagon R VXI,4.1,2018.0,Dealer,17512,Petrol,Manual,20.51,998.0,67.04,5.0
Hyundai Venue SX Plus Turbo DCT BSIV,10.5,2019.0,Individual,20000,Petrol,Automatic,18.15,998.0,118.35,5.0
Mahindra TUV 300 T6,5.75,2017.0,Dealer,70000,Diesel,Manual,18.49,1493.0,100.0,7.0
Tata Indigo LX (TDI) BS-III,3.05,2015.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
Renault Captur Platine Dual Tone Diesel,11.5,2019.0,Individual,18000,Diesel,Manual,20.37,1461.0,108.49,5.0
Maruti Swift VXI with ABS,5.11,2017.0,Dealer,28321,Petrol,Manual,16.6,1197.0,85.0,5.0
Nissan Micra XL CVT,4.1,2016.0,Dealer,27000,Petrol,Automatic,19.34,1198.0,76.0,5.0
Hyundai Verna 1.6 SX,4.25,2013.0,Dealer,65278,Diesel,Manual,22.32,1582.0,126.32,5.0
Renault Duster 110PS Diesel RxL Explore,7.5,2016.0,Individual,50000,Diesel,Manual,19.64,1461.0,108.45,5.0
Mini Cooper Cooper S,32.5,2017.0,Dealer,6000,Petrol,Automatic,14.41,1998.0,189.08,5.0